384,Shuffle an Array,https://leetcode.com/problems/shuffle-an-array/,,,,Medium
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,,,,Easy
78,Subsets,https://leetcode.com/problems/subsets/,,,,Medium
1402,Reducing Dishes,https://leetcode.com/problems/reducing-dishes/,,,,Hard
1016,Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n/,,,,Medium
1523,Count Odd Numbers in an Interval Range,https://leetcode.com/problems/magical-string/,,,,Easy
481,Magical String,https://leetcode.com/problems/magical-string//,,,,Medium
1062,,,,,,
47,,,,,,
688,,,,,,
199,,,,,,
882,,,,,,
848,,,,,,
45,,,,,,
62,,,,,,
551,,,,,,
66,,,,,,
1,,,,,,
909,,,,,,
718,,,,,,
1336,,,,,,
1471,,,,,,
665,,,,,,
1387,,,,,,
471,,,,,,
569,,,,,,
117,,,,,,
1063,,,,,,
1038,,,,,,
